[2026-04-16 20:31:35,625] [INFO] [4092500738:103] [SYNC] Starting incremental sync
[2026-04-16 20:31:36,037] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 100
[2026-04-16 20:31:36,228] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 200
[2026-04-16 20:31:36,367] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 300
[2026-04-16 20:31:36,527] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 400
[2026-04-16 20:31:36,686] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 500
[2026-04-16 20:31:36,824] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 600
[2026-04-16 20:31:36,868] [INFO] [4092500738:124] [SYNC] Added 14 chunks. Last ID: 614
[2026-04-16 20:32:46,944] [INFO] [4092500738:103] [SYNC] Starting incremental sync
[2026-04-16 20:32:47,151] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 100
[2026-04-16 20:32:47,242] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 200
[2026-04-16 20:32:47,365] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 300
[2026-04-16 20:32:47,473] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 400
[2026-04-16 20:32:47,582] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 500
[2026-04-16 20:32:47,683] [INFO] [4092500738:124] [SYNC] Added 100 chunks. Last ID: 600
[2026-04-16 20:32:47,712] [INFO] [4092500738:124] [SYNC] Added 14 chunks. Last ID: 614
[2026-04-16 20:37:54,734] [INFO] [1343334054:31] VectorStore initialized with HNSW (Dimension: 768)
[2026-04-16 20:37:54,741] [INFO] [1343334054:107] Starting sync from DB. Last synced ID: 0
[2026-04-16 20:37:55,107] [INFO] [1343334054:98] Successfully added 100 vectors. Index total: 100
[2026-04-16 20:37:55,129] [INFO] [1343334054:129] Synced batch of 100. New last_id: 100
[2026-04-16 20:37:55,257] [INFO] [1343334054:98] Successfully added 100 vectors. Index total: 200
